file	class	conviction	origin_family	appearances	raw_tradition
attis.md	SINGULAR	HIGH	Phrygian		Phrygian
atum.md	SINGULAR	HIGH	Egyptian		Egyptian
audumla.md	SINGULAR	HIGH	Norse		Norse
aurora-roman.md	SINGULAR	HIGH	Roman		Roman religion
ausrine.md	SINGULAR	HIGH	Baltic		Baltic paganism (Lithuanian)
avalokitesvara.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Mahāyāna and Vajrayāna Buddhism
awonawilona.md	SINGULAR	HIGH	Indigenous-N-American		Zuni (A:shiwi) — Pueblo Southwest
aya-sherida.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Akkadian
ayyappa.md	SINGULAR	HIGH	Vedic-Hindu		Hindu (Tamil-Malayalam Shaiva-Vaishnava)
azazel.md	MULTI_SAME_FAMILY	HIGH	Israelite		Israelite religion / Second Temple apocalyptic / Jewish demonology
ba-xian.md	SINGULAR	HIGH	Chinese		Daoism (folk-and-religious-Daoism; Quanzhen and Zhengyi schools)
baal-hadad.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Canaanite / Ugaritic / West Semitic
baal.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Canaanite / Ugaritic
babalu-aye.md	SINGULAR	HIGH	Yoruba-Diaspora		Yoruba religion (Nigeria / Diaspora)
bacchus.md	MULTI_SAME_FAMILY	HIGH	Roman		Roman religion / Italic religion; Hellenistic-Roman mystery cult
baiame.md	MULTI_SAME_FAMILY	HIGH	Aboriginal-Australian		Specific southeastern Australian Aboriginal nations — Wiradjuri, Kamilaroi, Wonnarua, Eora; contested as pan-Aboriginal
balarama.md	SINGULAR	HIGH	Vedic-Hindu		Hindu (Vaishnava)
baldr.md	MULTI_SAME_FAMILY	HIGH	Norse		Norse / Germanic
balor.md	SINGULAR	HIGH	Celtic		Irish
bandua.md	SINGULAR	HIGH	Celtic		Lusitanian Religion (pre-Roman Iberian) — Gallaecia, Lusitania, northwestern Iberian Peninsula
banebdjedet.md	SINGULAR	HIGH	Egyptian		Egyptian
baphomet.md	SINGULAR	HIGH	Modern-Esoteric		Modern occultism (Lévi 1856 Sabbatic Goat)
baraqel.md	MULTI_SAME_FAMILY	HIGH	Israelite	received-in:canonical in [[tradition-ethiopian-orthodox-tewahedo]]	Second-Temple Jewish apocalyptic (Enochic) / canonical in [[tradition-ethiopian-orthodox-tewahedo]]
barbelo.md	SINGULAR	HIGH	Gnostic		Sethian Gnostic
baron-samedi.md	SINGULAR	HIGH	Yoruba-Diaspora		Haitian Vodou
bastet.md	SINGULAR	HIGH	Egyptian		Egyptian (Old Kingdom onward; major cult Bubastis)
bau-sumerian.md	SINGULAR	HIGH	Mesopotamian		Sumerian
beelzebub.md	SINGULAR	HIGH	Israelite		Hebrew Bible (polemical, Baal-zebub)
beher.md	SINGULAR	HIGH	Aksumite		Pre-Christian Aksumite religion
belenos.md	SINGULAR	HIGH	Celtic		Celtic paganism (Gaulish — pan-Celtic; inscriptions from Gaul, Noricum, Aquileia, Britain)
belet-seri-akkadian.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Akkadian / Babylonian
belial.md	MULTI_SAME_FAMILY	HIGH	Israelite		Israelite religion / Second Temple apocalyptic / Qumran
bellona.md	SINGULAR	HIGH	Roman		Roman religion
belobog.md	SINGULAR	HIGH	Slavic-Finnic		Pre-Christian Slavic
benzaiten.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Japanese Buddhism (Shichifukujin) / Shinto-Buddhist syncretic
bergelmir.md	SINGULAR	HIGH	Norse		[[tradition-norse]]
bes.md	SINGULAR	HIGH	Egyptian		Egyptian (Middle Kingdom onward; popular / household religion)
bhaga.md	SINGULAR	HIGH	Vedic-Hindu		Vedic
bhairava.md	SINGULAR	HIGH	Vedic-Hindu		Hindu — Shaivism (Tantric, especially Kashmir Trika and Kāpālika streams)
bhaisajyaguru.md	SINGULAR	HIGH	Buddhist		Mahayana Buddhism (pan-Mahayana)
boann.md	SINGULAR	HIGH	Celtic		Irish Celtic
bolon-tzakab.md	MULTI_SAME_FAMILY	HIGH	Maya		Classic Maya / Yucatec Maya
bondye-vodou.md	SINGULAR	HIGH	Yoruba-Diaspora		Haitian Vodou
bor-norse.md	SINGULAR	HIGH	Norse		Norse (Eddic cosmogony)
bragi.md	SINGULAR	HIGH	Norse		Norse paganism
brahma.md	SINGULAR	HIGH	Vedic-Hindu		Hindu (Vedic-Brahmanic; Puranic)
bran-the-blessed.md	SINGULAR	HIGH	Celtic		Celtic paganism (Welsh)
bres.md	SINGULAR	HIGH	Celtic		Celtic paganism (Gaelic)
brigid.md	SINGULAR	HIGH	Celtic		Celtic paganism (Gaelic)
brihaspati.md	SINGULAR	HIGH	Vedic-Hindu		Vedic
budha.md	SINGULAR	HIGH	Vedic-Hindu		Hindu (Puranic / Jyotisha)
bumba.md	SINGULAR	HIGH	African		Bantu (Kuba / Bushongo, D.R. Congo)
bunjil.md	SINGULAR	HIGH	Aboriginal-Australian		Aboriginal Australian — Kulin nation (Wurundjeri, Boon Wurrung, Taungurung, Dja Dja Wurrung, Wathaurong; south-central Victoria, Australia)
buri.md	SINGULAR	HIGH	Norse		Norse (Eddic cosmogony)
cabracan.md	SINGULAR	HIGH	Maya		Maya (K'iche')
cagn.md	SINGULAR	REVIEW	UNKNOWN		ǀXam San (Khoisan / Bushmen) — Southern Africa
caishen.md	MULTI_SAME_FAMILY	HIGH	Chinese		Daoism / Chinese folk religion
camazotz.md	SINGULAR	HIGH	Maya		Maya (Kʼicheʼ)
cangjie.md	SINGULAR	HIGH	Chinese		Chinese
cao-dai-god.md	SINGULAR	REVIEW	UNKNOWN		[[tradition-cao-dai]]
catequil.md	SINGULAR	HIGH	Andean		Andean (pre-Inca origin — Conchucos region of central Peru; absorbed into Inca state pantheon)
centeotl.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec (Mexica)
ceres-roman.md	SINGULAR	HIGH	Roman		Roman religion
cernunnos.md	SINGULAR	HIGH	Celtic		Celtic paganism (Gallo-Roman + Insular substrate)
cerridwen.md	SINGULAR	HIGH	Celtic		Celtic paganism (Welsh)
chaac.md	SINGULAR	HIGH	Maya		tradition-maya-religion
chac.md	MULTI_SAME_FAMILY	HIGH	Maya		Yucatec Maya / pan-Maya
chakrasamvara.md	SINGULAR	HIGH	Buddhist		Vajrayāna Buddhism (Tibetan — Kagyu, Gelug, Sakya schools)
chalchiuhtlicue.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec
chandra.md	MULTI_SAME_FAMILY	HIGH	Vedic-Hindu		Vedic / Hindu (Rigveda, Atharvaveda, Puranas)
chang-e.md	MULTI_SAME_FAMILY	HIGH	Chinese		Chinese folk religion / Daoism (Huainanzi, c. 139 BCE; Mid-Autumn Festival living tradition)
changing-woman.md	SINGULAR	HIGH	Indigenous-N-American		Diné (Navajo)
chaos-primordial.md	SINGULAR	HIGH	Greek		Greek (Hesiodic and Orphic cosmogonic)
charon.md	SINGULAR	HIGH	Greek		Greek
charun-etruscan.md	SINGULAR	HIGH	Etruscan		Etruscan religion
chasca.md	SINGULAR	HIGH	Andean		Inca
chemosh.md	SINGULAR	REVIEW	UNKNOWN		Moabite (Canaanite / West Semitic)
chernobog.md	SINGULAR	HIGH	Slavic-Finnic		Slavic (primarily West and Baltic Slavic; medieval attestation)
chicomecoatl.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec (Mexica)
chitragupta.md	SINGULAR	HIGH	Vedic-Hindu		Hinduism (Puranic, pan-Hindu)
christ-pantokrator.md	SINGULAR	HIGH	Christian		Christianity (Byzantine and Eastern Orthodox iconographic tradition)
christos-gnostic.md	SINGULAR	HIGH	Gnostic		Gnostic (Valentinian / Sethian — Nag Hammadi corpus)
chukwu-igbo.md	SINGULAR	HIGH	African		[[tradition-igbo-religion]]
cipactli.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec
cizin.md	MULTI_SAME_FAMILY	HIGH	Maya		Yucatec Maya and Classic Maya (Tzeltal, Tzotzil, and other Maya groups continue cult variants)
coatlicue.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec
coeus.md	SINGULAR	HIGH	Greek		Greek
coniraya.md	MULTI_SAME_FAMILY	HIGH	Andean		Andean / Inca (Huarochirí Manuscript, c. 1608 CE — Francisco de Avila's collection)
corn-mother.md	MULTI_SAME_FAMILY	REVIEW	Indigenous-N-American		Eastern Woodlands / Pueblo (pan-North American agricultural traditions)
coyolxauhqui.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec (Mexica)
coyote-navajo.md	SINGULAR	HIGH	Indigenous-N-American		Diné (Navajo)
coyote.md	SINGULAR	REVIEW	UNKNOWN		Indigenous North American
crius.md	SINGULAR	HIGH	Greek		Greek
cupid-roman.md	SINGULAR	HIGH	Roman		Roman religion
cybele.md	SINGULAR	HIGH	Phrygian		Phrygian
daena.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian
dagda.md	SINGULAR	HIGH	Celtic		Celtic paganism (Gaelic)
dagon.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Northwest Semitic / Canaanite / Philistine
dagr.md	SINGULAR	HIGH	Norse		Norse (Eddic)
daikokuten.md	SINGULAR	HIGH	Buddhist		Japanese Buddhism (esoteric Mahākāla cult; later folk Shichifukujin)
daksha.md	SINGULAR	HIGH	Vedic-Hindu		Hindu (Puranic)
damballa.md	SINGULAR	HIGH	Yoruba-Diaspora		Haitian Vodou
damkina.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Babylonian
damu.md	SINGULAR	HIGH	Mesopotamian		Sumerian
dan-aida-hwedo.md	MULTI_SAME_FAMILY	HIGH	Yoruba-Diaspora		Fon-Ewe vodun (Dahomey / Kingdom of Whydah); preserved in Haitian Vodou as [[damballa]] + Aida-Wedo
danu.md	SINGULAR	HIGH	Celtic		Celtic paganism (Indo-European / Proto-Celtic)
daramulan.md	MULTI_SAME_FAMILY	REVIEW	Aboriginal-Australian		Yuin, Wiradjuri, Gamilaroi, and other south-eastern Australian Aboriginal nations
dattatreya.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Hindu — pan-Indian syncretic; especially central in Maharashtra (Nāth-sampradāya), Karnataka, Gujarat
dazhbog.md	SINGULAR	HIGH	Slavic-Finnic		Pre-Christian Slavic
demeter.md	SINGULAR	HIGH	Greek		Greek
demiurge-gnostic.md	MULTI_SAME_FAMILY	HIGH	Gnostic		Sethian and Valentinian Gnosticism
demiurge-platonic.md	SINGULAR	HIGH	Greek		Platonist philosophy (Greek)
dhanvantari.md	SINGULAR	HIGH	Vedic-Hindu		Hindu
dian-cecht.md	SINGULAR	HIGH	Celtic		Irish
diana-roman.md	SINGULAR	HIGH	Roman		Roman religion
dievas-baltic.md	SINGULAR	HIGH	Baltic		Baltic paganism
dionysus-mystery.md	SINGULAR	HIGH	Roman		Greco-Roman mystery-cult (Bacchic / Dionysiac)
dionysus.md	SINGULAR	HIGH	Greek		Greek
dipankara.md	SINGULAR	HIGH	Buddhist		Buddhism (pan-Buddhist — Theravāda and Mahāyāna; Indian origin)
dis-pater.md	SINGULAR	HIGH	Roman		Roman
dizang-ksitigarbha.md	SINGULAR	HIGH	Buddhist		Mahāyāna Buddhism (Chinese, Japanese, Korean — pan-East Asian)
donn-celtic.md	SINGULAR	HIGH	Celtic		Irish Celtic paganism (Lebor Gabála Érenn, Metrical Dindshenchas)
doumu.md	MULTI_SAME_FAMILY	HIGH	Chinese		Daoism / Chinese folk religion
druj.md	SINGULAR	HIGH	Zoroastrian		Zoroastrian (Avestan and Pahlavi)
dumuzi-tammuz.md	SINGULAR	HIGH	Mesopotamian		Sumerian
durga.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Hindu — Shakta / Shaivite / Pan-Hindu
dushara.md	SINGULAR	HIGH	Pre-Islamic-Arabian		Nabataean (North Arabian)
dyaus-pita.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Vedic Hindu (Vedic-period); reconstructed Proto-Indo-European ancestor
ebisu.md	SINGULAR	HIGH	Shinto		Shinto
ehecatl.md	MULTI_SAME_FAMILY	HIGH	Nahua-Aztec		Nahua / Aztec
eileithyia-greek.md	SINGULAR	HIGH	Greek		Greek
ein-sof.md	SINGULAR	HIGH	Rabbinic		Kabbalistic Judaism
eir-norse.md	SINGULAR	HIGH	Norse		Norse (Eddic)
ek-chuah.md	SINGULAR	HIGH	Maya		Maya
ekeko.md	MULTI_SAME_FAMILY	HIGH	Andean		Aymara (pre-Inca) and Andean (Bolivia, Peru, northern Chile, northwest Argentina) — pre-Columbian origin, continuous practice into the 21st century
el-canaanite.md	MULTI_SAME_FAMILY	HIGH	Canaanite		Canaanite / Ugaritic
el-elohim-hebrew.md	MULTI_SAME_FAMILY	HIGH	Israelite		Israelite / Hebrew Bible
el-shaddai.md	SINGULAR	HIGH	Israelite		Israelite (patriarchal / pre-Mosaic stratum)
enbilulu.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Babylonian
endovelicus.md	SINGULAR	HIGH	Celtic		Lusitanian Religion (pre-Roman Iberian)
enki-ea.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Mesopotamian
enkimdu.md	SINGULAR	HIGH	Mesopotamian		Sumerian
enlil.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Mesopotamian
enma-japanese.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Japanese Buddhism / Chinese Buddhism (Yánluó)
eos-greek.md	SINGULAR	HIGH	Greek		Greek paganism (Hesiod Theogony; Iliad; Odyssey)
epimetheus.md	SINGULAR	HIGH	Greek		Greek
epona.md	SINGULAR	HIGH	Celtic		Celtic paganism (Gaulish) — adopted into Roman cavalry worship
erebus.md	SINGULAR	HIGH	Greek		Greek (Hesiodic cosmogonic)
ereshkigal.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Akkadian
eris.md	SINGULAR	HIGH	Greek		Greek
erlang-shen.md	MULTI_SAME_FAMILY	HIGH	Chinese		Chinese folk religion / Daoism
eros-primordial.md	SINGULAR	HIGH	Greek		Greek (Hesiodic and Orphic cosmogonies)
erra-akkadian.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Akkadian / Babylonian
erzulie.md	SINGULAR	HIGH	Yoruba-Diaspora		Haitian Vodou
eshmun.md	SINGULAR	HIGH	Canaanite		Phoenician (Sidonian)
eshu.md	SINGULAR	HIGH	Yoruba-Diaspora		Yoruba
etain.md	SINGULAR	HIGH	Celtic		Celtic
father-of-greatness.md	SINGULAR	HIGH	Manichaean		Manichaean
faunus-roman.md	SINGULAR	HIGH	Roman		Roman religion
fenrir.md	SINGULAR	HIGH	Norse		Norse paganism
flint-deity.md	SINGULAR	HIGH	Indigenous-N-American		Haudenosaunee (Iroquois)
flora-roman.md	SINGULAR	HIGH	Roman		Roman
forseti.md	SINGULAR	HIGH	Norse		Norse
fortuna.md	SINGULAR	HIGH	Roman		Roman religion (with Hellenistic Tyche substrate)
four-sons-of-horus.md	SINGULAR	HIGH	Egyptian		Egyptian
freyja.md	MULTI_SAME_FAMILY	HIGH	Norse		Norse / Germanic
freyr.md	MULTI_SAME_FAMILY	HIGH	Norse		Norse / Germanic
frigg.md	MULTI_SAME_FAMILY	HIGH	Norse		Norse / Germanic
fufluns.md	SINGULAR	HIGH	Etruscan		Etruscan
fujin.md	SINGULAR	HIGH	Shinto		Shinto
futsunushi.md	SINGULAR	HIGH	Shinto		Shinto
fuxi.md	SINGULAR	HIGH	Chinese		Chinese mythology (Confucian + Daoist appropriation)
gabija.md	SINGULAR	HIGH	Baltic		Baltic paganism (Lithuanian)
gabriel-archangel.md	SINGULAR	HIGH	Israelite		Second Temple Judaism
gadreel.md	MULTI_SAME_FAMILY	HIGH	Israelite	received-in:canonical in [[tradition-ethiopian-orthodox-tewahedo]]	Second-Temple Jewish apocalyptic (Enochic) / canonical in [[tradition-ethiopian-orthodox-tewahedo]]
gaia.md	SINGULAR	HIGH	Greek		Greek
ganesha.md	SINGULAR	HIGH	Vedic-Hindu		Hindu — Pan-Hindu (Śaiva origin)
ganga.md	SINGULAR	HIGH	Vedic-Hindu		Hindu
garuda.md	MULTI_SAME_FAMILY	HIGH	Vedic-Hindu		Vedic / Puranic Hinduism + Buddhism + Jainism
gayatri.md	SINGULAR	HIGH	Vedic-Hindu		Hindu
geb.md	SINGULAR	HIGH	Egyptian		Egyptian
gede-loa.md	SINGULAR	HIGH	Yoruba-Diaspora		Haitian Vodou
gefjon.md	SINGULAR	HIGH	Norse		Norse paganism (Prose Edda; Skaldic verse)
gerd.md	SINGULAR	HIGH	Norse		Norse (Eddic)
geshtinanna.md	SINGULAR	HIGH	Mesopotamian		Sumerian
gibil.md	SINGULAR	HIGH	Mesopotamian		Sumerian
gilgamesh-nephilim.md	SINGULAR	HIGH	Israelite		Second-Temple Jewish apocalyptic (Book of Giants)
ginnungagap.md	SINGULAR	HIGH	Norse		Norse (Eddic cosmogony)
gitche-manitou.md	MULTI_SAME_FAMILY	REVIEW	Islamic		Algonquian — especially Anishinaabe (Ojibwe, Odawa, Potawatomi); related concepts among Cree, other Algonquian peoples
glooscap.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		Wabanaki / Algonquian — pan-Northeast-Woodlands (Mi'kmaq, Maliseet, Passamaquoddy, Penobscot, Abenaki)
god-the-father-christian.md	SINGULAR	HIGH	Christian		Christianity
goibniu.md	SINGULAR	HIGH	Celtic		Irish
gonggong.md	SINGULAR	HIGH	Chinese		Chinese (pre-Qin mythology; classical-philosophical reception)
gu-vodun.md	MULTI_SAME_FAMILY	HIGH	Yoruba-Diaspora		Fon-Ewe vodun (Dahomey); preserved in Haitian Vodou + Brazilian Candomblé Jeje
guan-yu.md	SINGULAR	HIGH	Chinese		Chinese folk religion
guanyin.md	MULTI_CROSS_FAMILY	MEDIUM	Chinese	Buddhist	Chinese popular religion / Chinese Buddhism
gugalanna.md	SINGULAR	HIGH	Mesopotamian		Sumerian
guhyasamaja.md	SINGULAR	HIGH	Buddhist		Vajrayāna Buddhism (Indian Mahāsiddha origin; Tibetan — esp. Gelug)
gula-akkadian.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Akkadian / Babylonian
gwydion.md	SINGULAR	HIGH	Celtic		Celtic paganism (Welsh) — Mabinogi tradition
hachiman.md	SINGULAR	HIGH	Shinto		Shinto
hades.md	SINGULAR	HIGH	Greek		Greek
