file	proposed_earliest	proposed_latest	tier1_source	rationale	confidence
hermes-greek.md	-1400	400	Versnel 2011 Coping with the Gods (Brill); Trombley 1995 Hellenic Religion and Christianization	Mycenaean Linear B e-ma-a (~-1400) attests Hermes; Olympian cult continuous through Hellenistic-Roman world; closes with Theodosian decrees. Hermetism continues as literary-philosophical tradition under Hermes Trismegistus — separate node, not the Olympian cult.	high
priapus-greek-roman.md	-400	400	Parker 1996 Athenian Religion: A History (Oxford UP); Beard, North & Price 1998 Religions of Rome vol. 1 (Cambridge UP)	Priapus cult emerges at Lampsacus (Hellespont) in 4th c. BCE, spreads through Hellenistic-Roman world; apotropaic garden-guardian cult ends with Theodosian Christianization.	high
ihy.md	-2400	500	Wilkinson 2003 The Complete Gods and Goddesses of Ancient Egypt (Thames & Hudson); Hornung 1999 The Ancient Egyptian Books of the Afterlife (Cornell UP)	Ihy attested in Pyramid Texts (Old Kingdom, ~-2400); Dendera-Edfu family-triad cult continuous through Ptolemaic-Roman Egypt; ends with Philae closure 535 CE bookend, matching vault Ra=500.	high
ma-at.md	-2400	500	Assmann 1989/2006 Ma'at: Gerechtigkeit und Unsterblichkeit im Alten Ägypten (Beck); Hornung 1999 The Ancient Egyptian Books of the Afterlife (Cornell UP)	Ma'at attested Pyramid Texts onward; cosmic-order principle pervasive through Pharaonic-Ptolemaic-Roman Egyptian religion; ends with temple closures through Philae 535 CE. Current latest=-30 is wrong (truncates at Augustus); 500 matches vault Ra=500.	high
ammit-devourer.md	-2400	500	Hornung 1999 The Ancient Egyptian Books of the Afterlife (Cornell UP); Wilkinson 2003 The Complete Gods and Goddesses of Ancient Egypt (Thames & Hudson)	Ammit attested Middle Kingdom onward in Book of the Dead chapter 125 weighing-of-the-heart; funerary papyri produced through Roman-period Egypt; closure 500 CE matches Philae bookend and vault Ra=500. Current latest=30 truncates wrongly at Augustus.	high
adad.md	-2500	-100	Schwemer 2008 'The Storm-Gods of the Ancient Near East' JANER 7:121-168; Schwemer 2001 Die Wettergottgestalten Mesopotamiens und Nordsyriens (Harrassowitz)	Continuous Akkadian/Babylonian/Assyrian storm-god cult from Old Akkadian (c. -2500) through Neo-Babylonian and into Hellenistic Mesopotamia; cult absorbed/displaced by Hellenistic syncretism with Zeus-Hadad and disappears as a distinct cult by ~-100.	high
baal.md	-2500	-100	Smith, M. S. 1994 The Ugaritic Baal Cycle vol. I (Brill); Smith 2002 The Early History of God (Eerdmans, 2nd ed.)	West Semitic Baal-Hadad cult from EBA Syria-Levant (~-2500) through Ugarit, Phoenician city-states, and Punic diaspora; absorbed into Hellenistic Zeus-Baal syncretism by ~-100. Alias node tracks same span as baal-hadad canonical.	high
anahita-zoroastrian.md	-1000	2026	Boyce, M. 1989 'Anāhīd' Encyclopaedia Iranica I/9 (also Boyce 1975-1991 A History of Zoroastrianism vols I-III, Brill); de Jong 1997 Traditions of the Magi (Brill)	Avestan Arǝdvī Sūrā Anāhitā attested in Younger Avesta (composition span c. -1000 to -500), state cult under Artaxerxes II (-405/-358), continuous Zoroastrian liturgical veneration in Yasht 5 through Sasanian period and into living Parsi and Iranian Zoroastrian practice — schema-rule: living tradition counts.	high
iblis-shaytan.md	610	2026	Reynolds, G. S. 2018 The Qur'an and the Bible: Text and Commentary (Yale UP); Awn, P. J. 1983 Satan's Tragedy and Redemption: Iblīs in Sufi Psychology (Brill)	Iblīs/Shayṭān is a Qur'anic theological figure (first proclamations c. 610 CE); continuously active in Islamic theology, exegesis, and lived practice (ta'awwudh formula, daily ritual) across all schools to present.	high
melek-taus.md	1162	2026	Kreyenbroek, P. G. 1995 Yezidism: Its Background, Observances and Textual Tradition (Mellen); Açıkyıldız, B. 2010 The Yezidis: The History of a Community, Culture and Religion (I.B. Tauris)	Yazidi veneration of Tawûsê Melek codified around Sheikh Adi ibn Musafir (d. 1162) and continuously practiced in Lalish and the Kurdish diaspora to present — active living tradition.	high
mithra.md	-1500	2026	Gershevitch, I. 1959 The Avestan Hymn to Mithra (Cambridge UP); Boyce, M. 1975 A History of Zoroastrianism vol. I (Brill); Boyce & Grenet 1991 A History of Zoroastrianism vol. III (Brill)	This node is explicitly the Avestan/Zoroastrian Mithra (NOT Roman Mithras — frontmatter draws the distinction). Indo-Iranian Mitra/Mithra attested from Mitanni treaty (-1380) and proto-Indo-Iranian substrate (~-1500); Mihr Yasht (Yasht 10) is among oldest Younger Avestan hymns; continuous Zoroastrian liturgical veneration through Sasanian, post-Islamic Parsi, and modern Iranian Zoroastrian and Parsi practice (Mihragan festival still observed). Schema-rule: living Zoroastrian continuity counts.	high
cernunnos.md	-400	400	Green, Miranda 1986 The Gods of the Celts (Sutton); also Green 1989 Symbol and Image in Celtic Religious Art (Routledge)	Gallo-Roman cult evidenced from Pillar of the Boatmen (~14-37 CE) and 4th-c. iconography; Gaul Christianized through 4th-5th c. with formal cult ended by Theodosian edicts; Insular Celtic Cernunnos has no continuous attested cult into the Christian Irish period — propose 400 CE as latest continuous Gallo-Roman attestation.	medium
dagda.md	-500	600	Mac Cana, Proinsias 1970 Celtic Mythology; Green, Miranda 1986 The Gods of the Celts; Charles-Edwards 2000 Early Christian Ireland (CUP)	Gaelic chief-god worship; Christianization of Ireland 432-c.600 CE supplanted active cult; Dagda survives only as euhemerized Tuatha Dé character in later MSS, not as worshipped deity.	high
lugh.md	-500	600	Mac Cana 1970 Celtic Mythology; Green 1986 The Gods of the Celts; Caesar Bellum Gallicum 6.17 (Gaulish chief god = Mercury/Lugus)	Continental Lugus cult through Roman period; Insular Lugh worship to Christianization of Ireland/Wales c. 432-600 CE. Lughnasadh persists as harvest festival but as folk custom under Christian overlay, not deity-cult.	high
manannan-mac-lir.md	-300	600	Mac Cana 1970 Celtic Mythology; Sims-Williams 2011 Irish Influence on Medieval Welsh Literature (OUP)	Gaelic and Welsh sea-god; cult extinguished by Christianization of Ireland (432-c.600) and Wales (similar timing); survives only as literary figure in Immrama and Mabinogion.	high
nuada.md	-300	600	Mac Cana 1970 Celtic Mythology; Dumezil 1948 Mitra-Varuna; Wheeler & Wheeler 1932 Report on the Excavation of the Prehistoric, Roman, and Post-Roman Site in Lydney Park (Society of Antiquaries)	Nodens cult at Lydney attested to ~370 CE; Romano-British paganism ended by 5th-c. Christianization; Insular Nuada cult extinguished by 600 CE Christianization of Ireland.	high
the-morrigan.md	-300	600	Green 1986 The Gods of the Celts; Mac Cana 1970 Celtic Mythology; Charles-Edwards 2000 Early Christian Ireland	Gaelic war-goddess cult terminated by Christianization of Ireland 432-c.600 CE; later attestations are MS-literary, not cultic; no Christian-saint syncretic continuation comparable to Brigid.	high
bergelmir.md	800	1100	Simek, Rudolf 1993 Dictionary of Northern Mythology (Brewer); Lindow 2001 Norse Mythology (OUP); Sawyer 1987 The Christianization of Scandinavia	Norse jötunn flood-survivor; Christianization of Scandinavia c. 1000-1150 CE; matches Odin/Thor/Freyja/Loki precedent of 1100 latest.	high
jarilo.md	-500	988	Ivanov & Toporov 1974 Issledovaniya v oblasti slavyanskikh drevnostey; Afanasyev 1865-69 Poeticheskie vozzreniya slavyan na prirodu; Gasparov 2012 The Slavonic Letters of St Jerome (for Christianization context)	Pre-Christian East Slavic dying-rising vegetation god; Christianization of Kievan Rus 988 CE terminates formal cult; folk Jurjevdan/St. George overlay is post-cult syncretism (Christian saint-overlay reverses the Brigid pattern — here pagan deity vanishes under saint).	medium
ukko.md	-1000	1900	Pentikainen, Juha 1989 Kalevala Mythology (Indiana UP); Siikala, Anna-Leena 2002 Mythic Images and Shamanism (FF Communications 280, Academia Scientiarum Fennica)	Finno-Karelian sky-thunder god; ukon vakat offering ceremonies documented continuously into 19th c. ethnographic fieldwork; runo-singing tradition active to c. 1900; Agricola 1551 attests living cult amid nominal Christianization.	high
vainamoinen.md	-500	1900	Pentikainen 1989 Kalevala Mythology; Siikala 2002 Mythic Images and Shamanism; DuBois 2009 An Introduction to Shamanism (CUP)	Karelian-Finnish primordial shaman-singer of runo-poetry; tradition documented from 17th c. (Petrus Magnus) through Lonnrot's 1849 Kalevala and into early-20th-c. SKVR fieldwork; runo-singing tradition continuous to c. 1900.	high
ah-puch.md	-300	1697	Restall 1998 Maya Conquistador; Jones 1998 Maya Resistance to Spanish Rule (fall of Nojpetén / Itza 1697)	Late Preclassic Maya iconographic emergence of God A (Dresden Codex tradition) c. -300; unbroken pre-contact Maya state-religion ends with Spanish conquest of the last independent Maya polity Nojpetén 1697; later survivals (Kisin) are Christian-syncretized folk continuations rather than continuous pre-contact cult under the named lord.	high
ixbalanque.md	-300	1697	Tedlock 1996 Popol Vuh translation/commentary; Coe 2011 The Maya (8th ed.); Restall 1998 Maya Conquistador (1697 Itza endpoint)	Hero Twins iconography traceable to Late Preclassic / San Bartolo murals (c. -300 to -100) and continuous through Classic Maya; K'iche' Popol Vuh tradition culminates pre-contact mythology; cult under Maya state religion ends with 1697 Nojpetén conquest.	high
chaac.md	-300	1697	Taube 1992 The Major Gods of Ancient Yucatan (Dumbarton Oaks); Restall 1998 Maya Conquistador	Chaac iconography (God B) attested Late Preclassic through Classic and into Postclassic codices (Dresden, Madrid) and Landa 1566 Relación; current latest=900 truncates at Classic collapse but Chaac cult continued in Postclassic Yucatán and the Itza polity until 1697 conquest of Nojpetén.	high
coniraya.md	1000	1608	Salomon & Urioste 1991 The Huarochirí Manuscript: A Testament of Ancient and Colonial Andean Religion; MacCormack 1991 Religion in the Andes	Regional Huarochirí huaca tradition consolidated in central Andean late-Intermediate / Late-Horizon period (c. 1000 onward); last attested as living regional cult in the Huarochirí Manuscript collected by Avila c. 1608, which marks the close of unbroken pre-contact Andean religion before the extirpation campaigns.	high
pariacaca.md	1000	1608	Salomon & Urioste 1991 The Huarochirí Manuscript; Taylor 1987 Ritos y tradiciones de Huarochirí	Pariacaca mountain-huaca cult attested as central regional sovereignty deity in the Huarochirí tradition from the late-Intermediate period; final living attestation in Huarochirí Manuscript c. 1608, contemporaneous with Avila's extirpation that ended open Andean huaca cult.	high
wiraqocha.md	-500	1608	Cook 1994 Wari y Tiwanaku (Lima); Rowe 1960 The Origins of Creator Worship Among the Incas; MacCormack 1991 Religion in the Andes	Staff-God / creator-figure iconography traceable to Chavín-Tiwanaku-Wari horizons (current -500 anchor confirmed by Cook 1994); Inca-period synthesis as Wiraqocha c. 1450; cult under that name continuous through the Huarochirí Manuscript 1608 (Cuniraya-Viracocha conflation explicitly attested) before extirpation closes the unbroken pre-contact tradition.	medium
shakti.md	-1000	2026	Coburn, T. 1991 Encountering the Goddess: A Translation of the Devi-Mahatmya and a Study of Its Interpretation, SUNY Press	Shakti as theological category traces to Vedic Vac (RV 10.125, c. -1000); Shakta cult crystallized in Devi Mahatmya c. 500 CE; continuous cult through Sri Vidya, Tantric Shaktism, and pan-Hindu devotionalism today.	high
meenakshi.md	600	2026	Younger, P. 1995 The Home of Dancing Sivan: The Traditions of the Hindu Temple in Citamparam (and his Madurai Meenakshi work); Harman, W. 1989 The Sacred Marriage of a Hindu Goddess, Indiana University Press	Tamil Madurai Meenakshi-Sundareswarar temple cult attested from c. 600 CE Pandya-era; Tiruvilaiyadal Puranam c. 1500; continuous active cult at Madurai Meenakshi Temple through 2026.	high
sundareswarar.md	600	2026	Harman, W. 1989 The Sacred Marriage of a Hindu Goddess, Indiana University Press; Younger, P. 1995 The Home of Dancing Sivan	Madurai-Shaiva Sundareswarar cult Tamil c. 600 CE (Pandya); paired with Meenakshi at Madurai Meenakshi-Sundareswarar Temple — active living cult through 2026.	high
apam-napat-vedic.md	-1500	2026	Macdonell, A. A. 1897 Vedic Mythology, Strassburg; Boyce, M. 1975 A History of Zoroastrianism vol. I, Brill	Apam Napat in RV 2.35 (c. -1500 to -1200 Rig-Vedic stratum); Indo-Iranian cognate cult continues in Vedic recitation and the Avestan Yasht 19 (still recited in Zoroastrian liturgy 2026).	high
narada.md	-1500	2026	Witzel, M. 1995 'Early Sanskritization: Origins and Development of the Kuru State' EJVS; Hopkins, E. W. 1915 Epic Mythology, Strassburg	Narada referenced in Rig Veda 8.13.6 and Atharvaveda; Puranic biography in Bhagavata Purana c. 900-1000 CE; continuous Vaishnava devotional presence + bhakti narrative through 2026 (extant Narada Bhakti Sutra cult).	high
vac-goddess.md	-1500	2026	Padoux, A. 1990 Vac: The Concept of the Word in Selected Hindu Tantras, SUNY Press	Vac in Rig Veda 10.125 Devi Sukta (c. -1200); continuously absorbed into Saraswati (her direct syncretic continuation) — Saraswati remains an actively-worshipped goddess across Hindu India in 2026, satisfying direct syncretic-continuation clause.	high
tathagata.md	-500	2026	Edgerton, F. 1953 Buddhist Hybrid Sanskrit Grammar and Dictionary, Yale University Press; Hirakawa, A. 1990 Indian Buddhism: A Survey with Bibliographical Notes, University of Hawaii Press	Tathāgata epithet attested from earliest Pali Nikayas (c. -500 to -400) as Buddha's self-designation; continuously used across Theravada/Mahayana/Vajrayana liturgy and scholarship through 2026.	high
vajrakilaya-yidam.md	700	2026	Boord, M. J. 1993 The Cult of the Deity Vajrakila, Institute of Buddhist Studies; Boord, M. J. 2002 A Bolt of Lightning From the Blue, Wandel Verlag	Vajrakila-tantra Indian c. 8th century; transmitted to Tibet by Padmasambhava as one of Eight Heruka practices; continuous Nyingma + Sakya yidam practice through 2026.	high
cao-dai-god.md	1926	2026	Hoskins, J. 2015 The Divine Eye and the Diaspora: Vietnamese Syncretism Becomes Transpacific Caodaism, University of Hawaii Press	Cao Dai religion founded 1926 by Ngo Van Chieu at Tay Ninh; active worship through 2026 in Vietnam and diaspora (Tay Ninh Holy See, ~4-6 million adherents).	high
hanullim.md	1860	2026	Baker, D. 2008 Korean Spirituality, University of Hawaii Press; Kallander, G. 2013 Salvation through Dissent: Tonghak Heterodoxy and Early Modern Korea, University of Hawaii Press	Hanullim formalized as supreme deity in Choe Je-u's 1860 Donghak revelation; continuous worship in Cheondogyo through 2026 (Korean folk substrate older but Donghak/Cheondogyo formalization is the named-cult window).	high
oyagami.md	1838	2026	Hardacre, H. 1984 Lay Buddhism in Contemporary Japan: Reiyukai Kyodan, Princeton University Press; Ellwood, R. 1982 Tenrikyo: A Pilgrimage Faith, Tenri University Oyasato Research Institute	Tenrikyo founded 1838 by Nakayama Miki at Oyagami's revelation; continuous worship at Jiba (Tenri City) and global Tenrikyo missions through 2026 (~1-2 million adherents).	high
ichikishima-hime.md	712	2026	Philippi, D.L. 1969 Kojiki (University of Tokyo Press); Teeuwen & Breen 2017 A Social History of the Shrines and Religion of Modern Japan	Munakata triad first textually attested in Kojiki 712; Munakata Taisha (Okitsu/Nakatsu/Hetsu shrines) remains an actively functioning Shinto cult through 2026 (UNESCO 2017 listing affirms continuous worship).	high
kotoshironushi.md	712	2026	Philippi, D.L. 1969 Kojiki (University of Tokyo Press); Naumann, N. 2000 Japanese Prehistory: The Material and Spiritual Culture of the Jomon Period	Izumo-cycle kami first textually attested in Kojiki 712; continuously enshrined at Miho Jinja and as one of the Eight Imperial Guardian Kami (hasshin-den) through the present.	high
tagitsu-hime.md	712	2026	Philippi, D.L. 1969 Kojiki (University of Tokyo Press); Teeuwen & Breen 2017 A Social History of the Shrines and Religion of Modern Japan	Second Munakata sister-goddess, born from the Susanoo/Amaterasu ukei in Kojiki 712; continuously venerated at Nakatsu-miya (Munakata Taisha) through 2026.	high
tagori-hime.md	712	2026	Philippi, D.L. 1969 Kojiki (University of Tokyo Press); Teeuwen & Breen 2017 A Social History of the Shrines and Religion of Modern Japan	Eldest Munakata sister-goddess (Okitsu-miya, Okinoshima) first attested Kojiki 712; Okinoshima ritual deposits (4th-9th c.) confirm continuous cult, still actively venerated 2026.	high
takeminakata.md	712	2026	Philippi, D.L. 1969 Kojiki (University of Tokyo Press); Grumbach, L. 2014 Sumo as a Religious Ritual: Suwa Shrine and the Onbashira Festival (Japanese Journal of Religious Studies)	Izumo kuni-yuzuri cycle kami first attested Kojiki 712; Suwa Taisha cult (Onbashira festival) continuously active through 2026. Pre-712 oral/archaeological cult plausible but Tier-1 textual anchor is 712.	high
toyouke.md	712	2026	Philippi, D.L. 1969 Kojiki (University of Tokyo Press); Teeuwen, M. 1996 Watarai Shinto: An Intellectual History of the Outer Shrine in Ise	Grain/food kami first textually attested Kojiki 712; Ise Geku (Outer Shrine) tradition dates enshrinement to c. 478 CE but textual anchor is 712; continuously venerated through shikinen sengu cycle to 2026.	high
xuanwu.md	-200	2026	Schipper, K. 1993 The Taoist Body. Univ. California Press; Lagerwey, J. 1992 The Pilgrimage to Wu-tang Shan, in Naquin & Yu eds. Pilgrims and Sacred Sites in China.	Xuanwu (Dark Warrior, Northern Emperor) emerges as Han-era directional deity c. -200, achieves Tang imperial recognition 7th c., and remains continuously venerated in Daoist temples (Wudang Shan) and Chinese folk religion through present.	high
zao-jun.md	-300	2026	Chard, R.L. 1995 Rituals and Scriptures of the Stove Cult, in Johnson ed. Ritual and Scripture in Chinese Popular Religion; Teiser, S.F. 1988 The Ghost Festival in Medieval China, Princeton.	Stove/Hearth god attested in Han-era ritual texts (Liji, Wang Chong Lunheng c. 80 CE); continuous household cult through Ming-Qing almanacs to present-day Lunar New Year 23rd-of-12th-month send-off rite in China, Taiwan, and diaspora.	high
zhenwu.md	1000	2026	Lagerwey, J. 1992 The Pilgrimage to Wu-tang Shan, in Naquin & Yu eds. Pilgrims and Sacred Sites in China; Seaman, G. 1987 Journey to the North (translation/study of Beiyou ji).	Zhenwu (Perfected Warrior) is the Song-Ming dynastic re-title and elevation of Xuanwu, with the imperial Wudang cult formalized under Northern Song (c. 1000 CE) and apotheosized under Ming Yongle emperor (15th c.); continuous Daoist veneration to present. File frontmatter notes 'Same as Xuanwu; later cult name Tang/Song' — treating as the post-1000 nominal cult per regional guidance.	high
anansi.md	-200	2026	Rattray, R.S. 1930 Akan-Ashanti Folk-Tales, Oxford; Marshall, E.Z. 2012 Anansi's Journey: A Story of Jamaican Cultural Resistance, Univ. West Indies Press.	Anansi belongs to the deep Akan oral substrate; conservative -200 reflects pre-contact oral tradition per regional guidance, with first European attestations 17th c. and continuous transmission through Atlantic diaspora (Jamaica, Caribbean, US South) to present-day living folklore.	medium
coyote-navajo.md	-500	2026	Reichard, G.A. 1950 Navajo Religion: A Study of Symbolism, Bollingen/Princeton; Toelken, B. 1987 Life and Death in the Navajo Coyote Tales, in Swann & Krupat eds. Recovering the Word.	Mą'ii / Coyote is core to the Diné Bahaneʼ creation cycle; conservative -500 reflects pre-contact Athabaskan oral substrate per regional guidance, with 19th-c. Matthews/Reichard ethnographic attestation and continuous ceremonial role (Blessingway, Coyoteway) in living Navajo religion to present.	medium
