id	title	stripped_match	sim	extract_head
phase-5-037-bernard-de-laude-novae-militiae	De Laude Novae Militiae (In Praise of the New Knig	Bernard of Clairvaux	0.28	Bernard of Clairvaux, O.Cist., venerated as Saint Bernard, was an abbot, mystic, co-founder of the Knights Templar, and 
phase-4-078-prayer-of-thanksgiving-nhc-vi-7	Hermetic Prayer of Thanksgiving (NHC VI,7)	Nag Hammadi library	0.28	The Nag Hammadi library is a collection of early Christian and Gnostic texts discovered near the Upper Egyptian town of 
phase-5-060-bon-kangyur	Bön Kanjur	Jure Bogdan	0.29	Jure Bogdan is a Croatian bishop who serves as 2nd Military ordinary of Croatia since 27 February 2016, had previously s
phase-7-018-aion	Aion: Researches into the Phenomenology of the Sel	The Collected Works of C. G. Jung	0.29	The Collected Works of C. G. Jung is a book series containing the first collected edition, in English translation, of th
phase-4-044-basil-on-the-holy-spirit	On the Holy Spirit	Basil of Caesarea	0.29	Basil of Caesarea, also called Saint Basil the Great, was an early Christian prelate. He served as Bishop of Caesarea Ma
phase-2-040-orphic-gold-tablets	Orphic Gold Tablets (Lamellae Orphicae)	Totenpass	0.29	Totenpass is a German term sometimes used for inscribed tablets or metal leaves found in burials primarily of those pres
phase-1-017-descent-of-inanna	Inanna's Descent to the Netherworld	Inanna	0.29	Inanna is the ancient Mesopotamian goddess of war, love, and sex. She is also associated with political power, divine la
phase-4-043-apophthegmata-patrum	Apophthegmata Patrum (Sayings of the Desert Father	Desert Fathers	0.29	The Desert Fathers were early Christian hermits and ascetics, who lived primarily in the Wadi El Natrun, then known as S
phase-4-050-leo-tome-to-flavian	Tome of Leo (Letter 28 to Flavian of Constantinopl	Eternal Darkness	0.3	Eternal Darkness: Sanity's Requiem is a 2002 horror game developed by Silicon Knights and published by Nintendo for the 
phase-5-047-ibn-tufayl-hayy-ibn-yaqdhan	Risālat Ḥayy ibn Yaqẓān (The Epistle of Ḥayy ibn Y	Ibn Tufayl	0.3	Ibn Ṭufayl was an Arab Andalusian Muslim polymath: a writer, physician, philosopher, theologian, astronomer, and vizier.
phase-5-034-vivekachudamani	Vivekacūḍāmaṇi (Crest-Jewel of Discrimination)	Adi Shankara	0.31	Adi Shankara, also called Adi Shankaracharya, was an Indian Vedic scholar-monk, philosopher, and teacher (acharya) of Ad
phase-2-017-mahabharata-ramayana-oral-layers	Mahābhārata and Rāmāyaṇa — Earliest Oral Layers	Mahabharata	0.31	The Mahābhārata is one of the two major Sanskrit epics of ancient India revered in Hinduism, the other being the Ramayan
phase-7-042-donggyeong-daejeon	Donggyeong Daejeon	Tonghak	0.32	Tonghak was an academic movement in Korean Neo-Confucianism founded in 1860 by Ch'oe Cheu. The Tonghak movement arose as
phase-4-026-origen-on-first-principles	On First Principles	Origen	0.32	Origen of Alexandria, also known as Origen Adamantius, was an early Christian scholar, ascetic, and theologian who was b
phase-5-022-madhva-brahma-sutra-bhasya	Brahma-Sūtra-Bhāṣya (Madhva)	Madhvacharya	0.32	Madhvacharya, also known as Purna Prajna and Ānanda Tīrtha, was an Indian philosopher, theologian and the chief proponen
phase-5-051-attar-conference-of-birds	Manṭiq al-Ṭayr (The Conference of the Birds / The	Attar of Nishapur	0.32	Faridoddin Abu Hamed Mohammad Attar Nishapuri, better known by his pen-names Faridoddin (فریدالدین) and Attar of Nishapu
phase-5-003-maximus-confessor-ambigua	Ambigua and Mystagogia (Maximus the Confessor)	Maximus the Confessor	0.33	Maximus the Confessor, also spelled Maximos, otherwise known as Maximus the Theologian and Maximus of Constantinople, wa
phase-4-046-john-of-damascus-exposition-orthodox-faith	Exposition of the Orthodox Faith	John of Damascus	0.33	John of Damascus or John Damascene, born Yūḥana ibn Manṣūr ibn Sarjūn, was a Christian monk, priest, hymnographer, and a
phase-4-077-abhidharmakosa	Abhidharmakośa (Treasury of Abhidharma)	Vasubandhu	0.33	Vasubandhu was an influential Indian Buddhist monk and scholar. He was a philosopher who wrote commentary on the Abhidha
phase-6-038-teresa-interior-castle	Interior Castle (Castillo Interior / Las Moradas)	Teresa of Ávila	0.33	Teresa of Ávila, also called Saint Teresa of Jesus, was a Carmelite nun and prominent Spanish mystic and religious refor
phase-6-008-paracelsus-corpus	Paracelsus' Theological-Medical-Alchemical Corpus	Paracelsus	0.34	Theophrastus Bombast von Hohenheim, known as Paracelsus, was a Swiss physician, alchemist, lay theologian, and philosoph
phase-8-017-santeria-lucumi	Santería / Lucumí Liturgical Tradition	Santería	0.35	Santería, also known as Regla de Ocha, Regla Lucumí, or Lucumí, is an African diaspora religion that developed in Cuba d
phase-5-018-suhrawardi-hikmat-al-ishraq	Ḥikmat al-Ishrāq (The Philosophy of Illumination)	Shihab al-Din Yahya ibn Habash Suhrawardi	0.35	Shihāb al-Dīn Abū al-Futūḥ Yaḥyā ibn Ḥabash ibn Amīrak al-Suhrawardī was a Persian philosopher and founder of the Irania
phase-4-024b-tertullian-against-valentinians	Against the Valentinians	Tertullian	0.35	Tertullian was a prolific early Christian author from Carthage in the Roman province of Africa. He was the first Christi
phase-1-004-gilgamesh-old-babylonian	Gilgamesh — Old Babylonian Version	Epic of Gilgamesh	0.35	The Epic of Gilgamesh is an epic from ancient Mesopotamia. The literary history of Gilgamesh begins with five Sumerian p
phase-6-046-ripley-compound-of-alchemy	The Compound of Alchemy / The Ripley Scroll	George Ripley (alchemist)	0.36	Sir George Ripley was an English Augustinian canon, author, and alchemist.
phase-4-066-polycarp-philippians	Polycarp's Letter to the Philippians	Polycarp	0.36	Polycarp was a Christian bishop of Smyrna. According to the Martyrdom of Polycarp, he died a martyr, bound and burned at
phase-2-009-hesiod-theogony-works-and-days	Hesiod — Theogony and Works and Days	Theogony	0.36	The Theogony is a poem by Hesiod describing the origins and genealogies of the Greek gods, composed c. 730–700 BC. It is
phase-7-014-gnostic-gospels	The Gnostic Gospels	Elaine Pagels	0.38	Elaine Pagels, née Hiesey, is an American historian of religion. She is the Harrington Spear Paine Professor of Religion
phase-8-009-dreaming-narratives	Australian Aboriginal Dreaming Narratives (the Dre	The Dreaming	0.38	The Dreaming, also referred to as Dreamtime, is a term devised by early anthropologists to refer to a religio-cultural w
phase-4-040-pliny-trajan-correspondence	Pliny–Trajan Correspondence on Christians (Epistul	Pliny the Younger	0.38	Gaius Plinius Caecilius Secundus, better known in English as Pliny the Younger, was a lawyer, author, and magistrate of 
phase-4-081-mashafa-henok-geez-1-enoch	Mashafa Henok (Ge'ez 1 Enoch — the Ethiopic recens	Book of Enoch	0.38	The Book of Enoch is an ancient Jewish apocalyptic religious text, ascribed by tradition to the patriarch Enoch who was 
phase-4-082-ethiopic-biblical-canon	Ethiopic Biblical Canon (the 81-book Ge'ez Bible)	Ethiopian Orthodox Tewahedo Church	0.39	The Ethiopian Orthodox Tewahedo Church, also sometimes known as the Abyssinian Church or the Church of Abyssinia, is the
phase-3-012-wisdom-of-solomon	Wisdom of Solomon	Book of Wisdom	0.39	The Book of Wisdom, also known as the Wisdom of Solomon, is a book in some Christian biblical canons. It is one of the s
phase-2-006-brahmanas-aranyakas	Brāhmaṇas and Āraṇyakas	Brahmana	0.39	The Brahmanas are Vedic śruti works attached to the Samhitas of the Rig, Sama, Yajur, and Atharva Vedas. They are a seco
phase-5-049-yosippon-ethiopian-recension	Yosippon / Joseph ben Gurion (Ethiopian recension	Josippon	0.39	Josippon is one of the most influential medieval chronicles of Jewish history, translated into many languages and republ
phase-7-044-cao-dai-canon	Cao Dai canonical scriptures	Caodaism	0.39	"Caodaism is a Vietnamese monotheistic syncretic religion that combines ""ethical precepts from Confucianism, occult pract"
