file	class	conviction	origin_family	appearances	raw_tradition
al-khwarizmi.md	SINGULAR	HIGH	Islamic		Islamic Golden Age (Abbasid Caliphate, Baghdad)
al-kindi.md	MULTI_SAME_FAMILY	HIGH	Islamic		Islam (Muʿtazilī theological alignment); Falsafa (Greek-Arabic philosophical tradition)
al-kirmani.md	NO_TRADITION				
al-muizz-fatimid.md	NO_TRADITION				
al-razi.md	NO_TRADITION				
al-shafii.md	SINGULAR	HIGH	Islamic		Sunni Islam — Shāfiʿī school of jurisprudence
al-sharif-al-radi.md	NO_TRADITION				
al-tabari.md	SINGULAR	HIGH	Islamic		Sunni Islam
albert-einstein.md	MULTI_SAME_FAMILY	REVIEW	Israelite		Modern physics / secular Jewish cultural background
alberto-ruz-lhuillier.md	NO_TRADITION				
albertus-magnus.md	SINGULAR	HIGH	Christian		Latin Christianity (Dominican; scholastic)
alcuin-of-york.md	SINGULAR	HIGH	Christian		Latin Christian (Anglo-Saxon → Frankish)
aldous-huxley.md	MULTI_CROSS_FAMILY	MEDIUM	Literary	Vedic-Hindu	English literature / Vedanta / perennial philosophy
aleister-crowley.md	SINGULAR	HIGH	Modern-Esoteric		Thelema
alexander-cunningham.md	NO_TRADITION				
alexander-the-great.md	MULTI_SAME_FAMILY	REVIEW	Greek		Hellenic / Argead Macedonian (with cult-honors as son of Zeus-Ammon by Egyptian and Greek priesthoods)
alexios-iv.md	NO_TRADITION				
alfred-maudslay.md	NO_TRADITION				
ali-al-hadi.md	SINGULAR	HIGH	Islamic		Islam (Twelver Shi'a Tenth Imam)
ali-al-rida.md	SINGULAR	HIGH	Islamic		Islam (Twelver Shi'a Eighth Imam)
ali-ibn-abi-talib.md	SINGULAR	HIGH	Islamic		Islam (universally venerated companion; Shi'a foundational figure / First Imam)
ali-zayn-al-abidin.md	SINGULAR	HIGH	Islamic		Islam (Shi'a Fourth Imam)
allan-temko.md	NO_TRADITION				
amaterasu-cave-myth.md	NO_TRADITION				
ambedkar.md	NO_TRADITION				
ambrose-of-milan.md	SINGULAR	HIGH	Christian		Patristic Christian (Latin)
amelius.md	NO_TRADITION				
amenhotep-iii.md	NO_TRADITION				
ammi.md	NO_TRADITION				
ammonas-letters.md	NO_TRADITION				
ammonius-saccas.md	MULTI_SAME_FAMILY	REVIEW	Neoplatonist		Neoplatonic / Alexandrian synthesis
amos-prophet.md	SINGULAR	HIGH	Israelite		Israelite (pre-exilic)
an-lushan.md	NO_TRADITION				
ananda-disciple.md	SINGULAR	HIGH	Buddhist		Buddhism (pre-sectarian; foundational to all schools)
anaxagoras.md	NO_TRADITION				
anaximander.md	SINGULAR	HIGH	Greek		Pre-Socratic Greek (Milesian school)
anaximenes.md	SINGULAR	HIGH	Greek		Pre-Socratic Greek (Milesian school)
andal.md	SINGULAR	HIGH	Vedic-Hindu		Hindu Bhakti (Tamil Vaishnava — Alvar tradition; Sri Vaishnavism)
andre-jean-festugiere.md	MULTI_SAME_FAMILY	REVIEW	Academic		Comparative-religion academic / Dominican classical scholar
andrew-apostle.md	SINGULAR	HIGH	Christian		earliest Christianity
angkor-thom-bayon.md	NO_TRADITION				
anna-sofaer.md	NO_TRADITION				
annie-besant.md	SINGULAR	HIGH	Modern-Esoteric		Theosophy
anselm-of-canterbury.md	SINGULAR	HIGH	Christian		Latin Christian — early scholastic
anthemius-of-tralles.md	NO_TRADITION				
anthony-aveni.md	NO_TRADITION				
antiochus-iv-epiphanes.md	SINGULAR	REVIEW	UNKNOWN		Seleucid Empire
anton-lavey.md	SINGULAR	HIGH	Modern-Esoteric		LaVeyan Satanism
antoni-gaudi.md	NO_TRADITION				
antonio-augusto-carvalho-monteiro.md	NO_TRADITION				
antonio-carvalho-monteiro.md	SINGULAR	HIGH	Hermetic		[[tradition-portuguese-hermeticism]]
antonio-da-sangallo-the-younger.md	NO_TRADITION				
antonio-vieira.md	MULTI_CROSS_FAMILY	MEDIUM	Hermetic	Christian	[[tradition-portuguese-hermeticism]] / [[tradition-christianity-canonical]] (Jesuit)
antony-the-great.md	SINGULAR	HIGH	Christian		Patristic Christian (Egyptian Coptic)
apelles.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		Marcionite → Apellean
aphrahat.md	SINGULAR	HIGH	Christian		Syriac Christian (Persian Sassanid territory)
apollinaris-of-laodicea.md	SINGULAR	HIGH	Christian		Patristic Christian (anti-Arian, condemned for Christology)
apollodorus-of-damascus.md	NO_TRADITION				
apollonius-of-tyana.md	MULTI_SAME_FAMILY	REVIEW	Greek		Neo-Pythagorean Greek philosophy with theurgic and miraculous elements
apollos.md	SINGULAR	HIGH	Christian		earliest Christianity
april-deconick.md	MULTI_CROSS_FAMILY	MEDIUM	Academic	Gnostic | Christian	Comparative religion (academic) / Gnostic studies / Coptic Christianity
apu-salkantay.md	NO_TRADITION				
apu-veronica.md	NO_TRADITION				
apuleius-of-madaura.md	MULTI_CROSS_FAMILY	MEDIUM	Greek	Literary | Mystery	Middle Platonist philosophy / Latin literary culture / Isis-mystery initiate
apuleius.md	MULTI_CROSS_FAMILY	HIGH	Greek	Literary | Mystery	Middle Platonism; Latin literary culture; multi-mystery-cult initiate (Isiac + Osirian + others)
aquila.md	SINGULAR	HIGH	Christian		earliest Christianity
archbishop-damianos-of-sinai.md	NO_TRADITION				
archbishop-konrad-von-hochstaden.md	NO_TRADITION				
archbishop-makarios-iii-of-sinai.md	NO_TRADITION				
archytas.md	SINGULAR	HIGH	Greek		Pythagoreanism
arganthonius.md	SINGULAR	REVIEW	UNKNOWN		Tartessian Civilization
aristides-of-athens.md	SINGULAR	HIGH	Christian		Patristic Christian (proto-orthodox)
aristotle.md	MULTI_SAME_FAMILY	REVIEW	Greek		Greek philosophy — Peripatetic / Lyceum
arius.md	SINGULAR	HIGH	Christian		Christian (Alexandrian; condemned)
arnold-of-zwolle.md	NO_TRADITION				
arnold-wolff.md	NO_TRADITION				
arthur-darby-nock.md	MULTI_SAME_FAMILY	HIGH	Academic		Comparative-religion academic / classical historian
asanga.md	SINGULAR	HIGH	Buddhist		Mahayana Buddhism (Yogācāra/Cittamātra school)
ashoka.md	SINGULAR	HIGH	Buddhist		tradition-buddhism
ashurbanipal.md	SINGULAR	HIGH	Mesopotamian		Neo-Assyrian
asoka-maurya.md	SINGULAR	HIGH	Buddhist		Buddhism (Mauryan state-patronage; non-sectarian *dhamma*)
astronomical-alignment-calendar-architecture.md	NO_TRADITION				
athanasius-kircher.md	MULTI_SAME_FAMILY	HIGH	Christian		Jesuit universal-history scholarship / Catholic Renaissance Hermeticism
athanasius.md	SINGULAR	HIGH	Christian		Patristic Christian (Alexandrian)
athenagoras-of-athens.md	SINGULAR	HIGH	Christian		Patristic Christian (proto-orthodox)
atisa.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Indian Mahāyāna-Vajrayāna; Tibetan Buddhism (founder-figure of the Kadampa lineage)
atrahasis-flood-hero.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Akkadian / Mesopotamian
augustine-of-hippo.md	SINGULAR	HIGH	Christian		Patristic Christian (Latin)
augustus-roman-emperor.md	NO_TRADITION				
aurangzeb-emperor.md	NO_TRADITION				
aurel-stein.md	NO_TRADITION				
avars.md	NO_TRADITION				
avenue-of-the-dead.md	NO_TRADITION				
averroes.md	SINGULAR	HIGH	Islamic		Islamic Andalusia (Maliki jurist, Aristotelian philosopher)
avicenna.md	SINGULAR	HIGH	Islamic		Islamic (Sunni Hanafi)
baal-shem-tov.md	MULTI_SAME_FAMILY	HIGH	Rabbinic		Jewish Kabbalah → Hasidism
bahaullah.md	SINGULAR	REVIEW	UNKNOWN		Bahá'í Faith
bahya-ibn-paquda.md	MULTI_CROSS_FAMILY	MEDIUM	Rabbinic	Islamic	Rabbinic Judaism — medieval Jewish pietism / Sufi-influenced ethics
bamiyan-buddhas.md	NO_TRADITION				
bamiyan-buddhist-sutra-fragments.md	NO_TRADITION				
bandarra.md	NO_TRADITION				
bantu-expansion.md	NO_TRADITION				
barbara-schock-werner.md	NO_TRADITION				
bardaisan-of-edessa.md	SINGULAR	HIGH	Christian		Syriac Christianity (heterodox Edessan)
barlaam-and-josaphat.md	MULTI_CROSS_FAMILY	MEDIUM	Buddhist	Manichaean | Greek | Christian	Originally Buddhist (jātaka of Siddhārtha Gautama); transmitted via Manichaean Iran → Arabic → Georgian → Greek → Latin Christian hagiography
barnabas.md	SINGULAR	HIGH	Christian		earliest Christianity
bart-ehrman.md	MULTI_SAME_FAMILY	REVIEW	Academic		Comparative religion (academic) / New Testament textual criticism
bartholomew-apostle.md	SINGULAR	HIGH	Christian		earliest Christianity
baruch-spinoza.md	MULTI_SAME_FAMILY	REVIEW	Israelite		Early modern rationalism / Sephardic Jewish background (excommunicated)
basava.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Hindu — Lingayat / Vīraśaiva tradition
basavanna.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Hindu — Vīraśaiva / Lingāyat (founded by Basavanna); sub-tradition of Shaivism
basil-of-caesarea.md	SINGULAR	HIGH	Christian		Patristic Christian (Cappadocian)
basilides.md	SINGULAR	HIGH	Christian		Basilidean Gnostic Christianity
battle-of-talas.md	NO_TRADITION				
bear-butte-south-dakota.md	NO_TRADITION				
beatrice-portinari.md	SINGULAR	HIGH	Christian		medieval-christianity
bede-the-venerable.md	NO_TRADITION				
bede.md	SINGULAR	HIGH	Christian		Latin Christian (Anglo-Saxon)
ben-sira.md	SINGULAR	HIGH	Israelite		Hellenistic Judaism
benedict-of-nursia.md	SINGULAR	HIGH	Christian		Latin Christian (monastic)
bernard-of-clairvaux.md	SINGULAR	HIGH	Christian		Latin Christianity (Cistercian)
bernard-raymond-fabre-palaprat.md	MULTI_SAME_FAMILY	REVIEW	Christian		Latin Christianity (Catholic background) → Western esoteric Christianity / [[tradition-eglise-johannite]] / [[tradition-strict-templar-observance|Templar-revivalist Masonic milieu]]
bernardino-de-sahagun.md	MULTI_CROSS_FAMILY	MEDIUM	Christian	Nahua-Aztec	Roman Catholicism / Mexica ethnography
bernini.md	NO_TRADITION				
berossus.md	SINGULAR	HIGH	Mesopotamian		Babylonian-Hellenistic (priest of Bel-Marduk; Greek-language Babyloniaca historiographer)
bharatamuni.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Hindu — classical Sanskrit aesthetics and dramatic theory; closely tied to Śaiva-Brahmanical ritual context
birdman-burial-cahokia.md	NO_TRADITION				
birger-pearson.md	MULTI_CROSS_FAMILY	MEDIUM	Academic	Gnostic | Christian	Comparative religion (academic) / Gnostic studies / Coptic Christianity
bishop-fulbert-of-chartres.md	NO_TRADITION				
bishop-maurice-de-sully.md	NO_TRADITION				
bishop-renaud-de-mouçon.md	NO_TRADITION				
bisu-maharana.md	NO_TRADITION				
black-elk.md	MULTI_CROSS_FAMILY	MEDIUM	Indigenous-N-American	Christian	Oglala Lakota / Roman Catholicism (later)
blandina.md	SINGULAR	HIGH	Christian		earliest Christianity
bodhidharma.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Chan / Zen Buddhism
boethius.md	MULTI_CROSS_FAMILY	MEDIUM	Christian	Neoplatonist	Latin Christian / Roman Neoplatonist
bogomil-priest.md	SINGULAR	HIGH	Christian		Bogomilism — medieval Christian dualism
bonaventure.md	SINGULAR	HIGH	Christian		Latin Christian — Franciscan scholastic
brahmagupta.md	MULTI_SAME_FAMILY	REVIEW	Vedic-Hindu		Vedic / Gupta-period Indian mathematics
brian-bauer.md	NO_TRADITION				
brian-copenhaver.md	MULTI_SAME_FAMILY	REVIEW	Academic		Comparative-religion academic / Renaissance-philosophy historian
brigham-young.md	SINGULAR	HIGH	Christian		Mormonism (LDS / Utah branch)
buddha-shakyamuni.md	NO_TRADITION				
buddhaghosa.md	SINGULAR	HIGH	Buddhist		Theravāda Buddhism (Mahāvihāra orthodoxy of Anurādhapura, Sri Lanka)
byzantine-alchemy.md	NO_TRADITION				
byzantine-purple-silks.md	NO_TRADITION				
c-s-lewis.md	SINGULAR	HIGH	Christian		Christian (Anglican)
cachicata-quarry.md	NO_TRADITION				
caesar-augustus.md	SINGULAR	HIGH	Roman		Roman (imperial cult; later named in the Christian Nativity)
cahokia-woodhenge.md	NO_TRADITION				
caiaphas.md	MULTI_SAME_FAMILY	REVIEW	Israelite		Second-Temple Jewish / Sadducean
cainan-son-of-arpachshad.md	MULTI_CROSS_FAMILY	HIGH	Christian	Israelite	[[tradition-ethiopian-orthodox-tewahedo]] (canonical Genesis genealogy) / [[tradition-judaism]] (LXX + Jubilees retain him; Hebrew Masoretic Text omits him) / [[tradition-christianity-canonical]] (Luke 3:36 retains him — proves NT followed LXX-tradition)
camões.md	NO_TRADITION				
candrakirti.md	SINGULAR	HIGH	Buddhist		Madhyamaka Buddhism (Prāsaṅgika)
caracol-chichen-itza.md	NO_TRADITION				
carl-gustav-jung.md	SINGULAR	REVIEW	UNKNOWN		Jungian depth psychology (his school)
carlo-maderno.md	NO_TRADITION				
carpocrates.md	SINGULAR	HIGH	Gnostic		Carpocratian Gnostic
casa-rinconada-chaco-canyon.md	NO_TRADITION				
cassiodorus.md	SINGULAR	HIGH	Christian		Latin Christian
celsus.md	SINGULAR	HIGH	Greek		Middle Platonism (pagan)
cenote-sagrado-chichen-itza.md	NO_TRADITION				
ceque-system-cusco.md	NO_TRADITION				
cerdo.md	MULTI_SAME_FAMILY	REVIEW	Gnostic		Syrian-Roman proto-Gnostic; reported teacher of [[marcion-of-sinope]]
cerinthus.md	MULTI_CROSS_FAMILY	MEDIUM	Christian	Gnostic	early Jewish-Christian / proto-Gnostic
chaco-canyon.md	NO_TRADITION				
chaim-vital.md	SINGULAR	HIGH	Rabbinic		Jewish Kabbalah (Lurianic)
chaitanya-mahaprabhu.md	SINGULAR	HIGH	Vedic-Hindu		Hindu Bhakti (Gaudiya Vaishnava)
chaitanya.md	NO_TRADITION				
chang-shuhong.md	NO_TRADITION				
char-dham.md	NO_TRADITION				
charlemagne.md	SINGULAR	HIGH	Christian		Latin Christian (Carolingian)
charles-hapgood.md	MULTI_SAME_FAMILY	REVIEW	Academic		20th-century academic history (Keene State College); subsequently absorbed into popular pseudoarchaeology
charles-parham.md	NO_TRADITION				
charles-taze-russell.md	SINGULAR	REVIEW	UNKNOWN		Jehovah's Witnesses (via the Bible Student / Watch Tower movement)
charles-the-bald.md	NO_TRADITION				
chartres-school-texts.md	NO_TRADITION				
chasuble.md	NO_TRADITION				
cheng-hao.md	SINGULAR	HIGH	Chinese		Neo-Confucianism (Song period)
cheng-yi.md	SINGULAR	HIGH	Chinese		Neo-Confucianism (Song period)
chetro-ketl.md	NO_TRADITION				
chevalier-ramsay.md	MULTI_SAME_FAMILY	REVIEW	Modern-Esoteric		Scottish Jacobitism / early French Freemasonry
chichen-itza.md	NO_TRADITION				
choe-je-u.md	SINGULAR	HIGH	Korean		[[tradition-donghak]]
chogyam-trungpa.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Vajrayana Buddhism / Shambhala Buddhism
christian-rosenkreutz.md	SINGULAR	HIGH	Modern-Esoteric		Rosicrucianism (legendary)
chrysippus.md	SINGULAR	HIGH	Greek		Stoicism
cistercian-order.md	NO_TRADITION				
ciudadela-teotihuacan.md	NO_TRADITION				
claude-jacques.md	NO_TRADITION				
clement-of-alexandria.md	SINGULAR	HIGH	Christian		Patristic Christian (Alexandrian school)
clement-of-rome.md	SINGULAR	HIGH	Christian		Patristic Christian (proto-orthodox)
cleopatra-vii.md	MULTI_SAME_FAMILY	REVIEW	Greek		Hellenistic Greek (Macedonian) ruling Egypt as Pharaoh; ritually identified with Isis
codex-purpureus-rossanensis.md	NO_TRADITION				
colosseum-rome.md	NO_TRADITION				
confucius.md	SINGULAR	HIGH	Chinese		Confucianism
constantine-i.md	SINGULAR	HIGH	Roman		Roman (converted to Christianity)
constantine-the-great.md	NO_TRADITION				
constantine-von-tischendorf.md	NO_TRADITION				
constantine-xi-palaiologos.md	SINGULAR	HIGH	Christian		Eastern Orthodox Christianity (with conditional acceptance of the Council of Florence 1439 Union)
cope.md	NO_TRADITION				
copernicus.md	MULTI_CROSS_FAMILY	MEDIUM	Christian	Greek	Renaissance Catholic / Platonic-Pythagorean astronomy
coricancha-cusco.md	NO_TRADITION				
cornelius-agrippa.md	MULTI_SAME_FAMILY	REVIEW	Hermetic		Renaissance magic / Hermetic-Kabbalist syncretism
cornelius-centurion.md	SINGULAR	HIGH	Christian		earliest Christianity
cosimo-de-medici.md	SINGULAR	REVIEW	UNKNOWN		Florentine Renaissance
crispin-branfoot.md	NO_TRADITION				
critias-younger.md	SINGULAR	HIGH	Greek		Greek (Athenian)
crusader-mediterranean.md	NO_TRADITION				
cyprian-of-carthage.md	MULTI_CROSS_FAMILY	HIGH	Christian	African	Patristic Christian (proto-orthodox); North African
cyril-of-alexandria.md	SINGULAR	HIGH	Christian		Patristic Christian (Alexandrian)
cyrus-the-great.md	SINGULAR	REVIEW	UNKNOWN		Achaemenid Persian
d-t-suzuki.md	MULTI_SAME_FAMILY	HIGH	Buddhist		Buddhist modernism / Zen
dalai-lama-14.md	MULTI_SAME_FAMILY	REVIEW	Buddhist		Vajrayana Buddhism / Gelug school
dalmatic.md	NO_TRADITION				
daniel-prophet.md	SINGULAR	HIGH	Israelite		Second-Temple Jewish (literary frame: 6th-c. BCE Babylonian exile)
dante-alighieri.md	SINGULAR	HIGH	Christian		medieval-christianity
darius-i-the-great.md	MULTI_CROSS_FAMILY	HIGH	Zoroastrian	Israelite	Zoroastrian (Achaemenid imperial-religious-political context); Hebrew-Bible peripheral character (Ezra 4-6, Daniel 6 — though the Daniel-Darius is likely a different conflated figure)
david-bentley-hart.md	MULTI_SAME_FAMILY	REVIEW	Christian		Eastern Orthodox theology / classical theism / Christian universalism
david-brakke.md	MULTI_CROSS_FAMILY	MEDIUM	Academic	Christian | Gnostic	Comparative religion (academic) / early Christianity / Gnostic studies
david-king.md	MULTI_SAME_FAMILY	REVIEW	Israelite		Israelite / pre-exilic Judah
dayananda-saraswati.md	SINGULAR	HIGH	Vedic-Hindu		Hindu modernism — Arya Samaj
debala-mitra.md	NO_TRADITION				
deborah-klimburg-salter.md	NO_TRADITION				
decius-emperor.md	SINGULAR	HIGH	Roman		Roman state religion (pagan)
deganawidah-peacemaker.md	SINGULAR	HIGH	Indigenous-N-American		Haudenosaunee (Iroquois Confederacy)
derrida.md	SINGULAR	REVIEW	UNKNOWN		Continental Philosophy (Deconstruction)
descartes.md	MULTI_SAME_FAMILY	REVIEW	Christian		Early modern rationalism / French Catholic
deucalion.md	MULTI_SAME_FAMILY	HIGH	Greek		Greek / Hellenistic
devangana-desai.md	NO_TRADITION				
dhu-al-qarnayn.md	SINGULAR	HIGH	Islamic		Islam (Quranic legendary figure)
diego-duran.md	NO_TRADITION				
dietrich-bonhoeffer.md	MULTI_SAME_FAMILY	REVIEW	Christian		Christian (Lutheran) / Confessing Church
dinis-i-of-portugal.md	NO_TRADITION				
dinis-i-portugal.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		[[tradition-order-of-christ]] / [[tradition-knights-templar]] (successor institution)
diocletian-emperor.md	SINGULAR	HIGH	Roman		Roman state religion (pagan; Jovian self-identification)
diodore-of-tarsus.md	SINGULAR	HIGH	Christian		Antiochene Christian
diodorus-siculus.md	SINGULAR	HIGH	Greek		Greek (late Hellenistic / early Augustan)
diogo-de-arruda.md	NO_TRADITION				
diogo-de-torralva.md	NO_TRADITION				
dioscorus-of-alexandria.md	MULTI_SAME_FAMILY	REVIEW	Christian		Pre-Chalcedonian Alexandrian Christianity; foundational figure for Oriental Orthodoxy
divakara-pandita.md	NO_TRADITION				
djoser.md	NO_TRADITION				
dogen.md	SINGULAR	HIGH	Buddhist		Zen Buddhism — Sōtō school
domitian-emperor.md	SINGULAR	HIGH	Roman		Roman state religion (pagan)
donato-bramante.md	NO_TRADITION				
donnelly-ignatius.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		American populist / 19th-century popular esoteric-archaeological
doreen-valiente.md	MULTI_SAME_FAMILY	REVIEW	Modern-Esoteric		Wicca / Modern Pagan
dunhuang-gansu.md	NO_TRADITION				
dutty-boukman.md	MULTI_SAME_FAMILY	REVIEW	Yoruba-Diaspora		Haitian Vodou / Haitian Revolution
e-dunhuang.md	NO_TRADITION				
edgar-cayce.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		American esoteric / trance prophecy
eduardo-matos-moctezuma.md	NO_TRADITION				
edward-banning.md	NO_TRADITION				
edward-herbert-thompson.md	NO_TRADITION				
edward-kelley.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		Renaissance esoteric / angelic magic
edwin-shook.md	NO_TRADITION				
elaine-pagels.md	MULTI_CROSS_FAMILY	MEDIUM	Academic	Christian	Comparative religion (academic) / early Christian history
eleanor-mannikka.md	NO_TRADITION				
elias-ashmole.md	MULTI_CROSS_FAMILY	MEDIUM	Hermetic	Modern-Esoteric	English Hermetic / Rosicrucian-Masonic
elias-lonnrot.md	MULTI_SAME_FAMILY	REVIEW	Christian		Finnish Lutheran / national-romantic folklore
eliezer-ben-hyrcanus.md	SINGULAR	HIGH	Rabbinic		early Rabbinic Judaism (Tannaitic; Shammaite tendency)
elijah-prophet.md	MULTI_SAME_FAMILY	REVIEW	Israelite		Israelite / Northern Kingdom
eliphas-levi.md	MULTI_CROSS_FAMILY	MEDIUM	Christian	Hermetic | Modern-Esoteric	Latin Christianity (Catholic background) → Western esoteric / [[tradition-renaissance-hermeticism|Hermetic]] / Christian-Kabbalist / proto-modern-occult
elisha-prophet.md	MULTI_SAME_FAMILY	REVIEW	Israelite		Israelite / Northern Kingdom
emanuel-swedenborg.md	MULTI_SAME_FAMILY	REVIEW	Christian		Christian esoteric / Swedenborgian (New Church)
emile-durkheim.md	MULTI_SAME_FAMILY	REVIEW	Academic		Comparative religion (academic) / Sociology of religion
empedocles.md	SINGULAR	HIGH	Greek		Pre-Socratic Greek (Pythagorean and Eleatic milieu)
emperor-shomu.md	NO_TRADITION				
emperor-xiaowen-of-northern-wei.md	NO_TRADITION				
emperor-yomei.md	NO_TRADITION				
empress-komyo.md	NO_TRADITION				
empress-suiko.md	NO_TRADITION				
empress-theodora.md	NO_TRADITION				
empress-wu-zetian.md	NO_TRADITION				
enheduanna.md	MULTI_SAME_FAMILY	HIGH	Mesopotamian		Sumerian / Akkadian (Sargonic period)
enmebaragesi.md	SINGULAR	HIGH	Mesopotamian		Sumerian
enoch.md	MULTI_SAME_FAMILY	HIGH	Israelite		Israelite religion / Second Temple apocalyptic
ephrem-the-syrian.md	SINGULAR	HIGH	Christian		Syriac Christian
epictetus.md	SINGULAR	HIGH	Greek		Stoicism (Roman)
epicurus.md	SINGULAR	HIGH	Greek		Greek philosophy — Epicureanism
erich-von-daniken.md	MULTI_SAME_FAMILY	REVIEW	UNKNOWN		alternative-history / popular pseudoarchaeology
ernst-friedrich-zwirner.md	NO_TRADITION				
esau.md	MULTI_SAME_FAMILY	HIGH	Israelite		Israelite / pre-monarchic
euclid.md	SINGULAR	HIGH	Greek		Hellenistic Greek mathematics (Platonic Academy lineage)
eugene-emmanuel-viollet-le-duc.md	NO_TRADITION				
euripides.md	MULTI_SAME_FAMILY	REVIEW	Greek		Greek (Athenian dramatic tradition); strongly engaged with Sophistic philosophy and emergent rationalism
europe-early-modern.md	NO_TRADITION				
europe-late-medieval.md	NO_TRADITION				
europe-medieval.md	NO_TRADITION				
europe-renaissance.md	NO_TRADITION				
eusebius-of-caesarea.md	SINGULAR	HIGH	Christian		Patristic Christian
eutyches.md	SINGULAR	HIGH	Christian		Christian (Constantinopolitan monastic; Monophysite)
evagrius-ponticus.md	SINGULAR	HIGH	Christian		Patristic Christian (Egyptian Coptic / Cappadocian-trained)
eve.md	SINGULAR	HIGH	Israelite		Israelite religion (founder-figure)
ewostatewos.md	SINGULAR	HIGH	Christian		[[tradition-ethiopian-orthodox-tewahedo]] (House of Ewostatewos)
ezana-of-aksum.md	MULTI_SAME_FAMILY	HIGH	Christian		[[tradition-ethiopian-orthodox-tewahedo]] (first Christian king); previously pre-Christian South-Arabian-derived Aksumite paganism
ezekiel.md	SINGULAR	HIGH	Israelite		Judahite (exilic)
ezra.md	NO_TRADITION				
fajada-butte-sun-dagger.md	NO_TRADITION				
fajada-butte.md	NO_TRADITION				
fan-jinshi.md	NO_TRADITION				
